USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.5  22220 10624 ?        Ss   Feb08  23:16 /usr/lib/systemd/systemd --system --deserialize=67
root           2  0.0  0.0      0     0 ?        S    Feb08   0:07 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    Feb08   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-netns]
root          12  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    Feb08   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    Feb08   0:00 [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    Feb08   0:00 [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    Feb08   1:54 [ksoftirqd/0]
root          17  0.0  0.0      0     0 ?        I    Feb08  29:51 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    Feb08   0:44 [migration/0]
root          19  0.0  0.0      0     0 ?        S    Feb08   0:00 [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    Feb08   0:00 [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    Feb08   0:00 [cpuhp/1]
root          22  0.0  0.0      0     0 ?        S    Feb08   0:00 [idle_inject/1]
root          23  0.0  0.0      0     0 ?        S    Feb08   0:42 [migration/1]
