USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.5  22220 10496 ?        Ss   Feb08  23:16 /usr/lib/systemd/systemd --system --deserialize=67
root           2  0.0  0.0      0     0 ?        S    Feb08   0:07 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    Feb08   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-netns]
root          12  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    Feb08   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    Feb08   0:00 [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    Feb08   0:00 [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    Feb08   1:54 [ksoftirqd/0]
root          17  0.0  0.0      0     0 ?        I    Feb08  29:50 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    Feb08   0:44 [migration/0]
root          19  0.0  0.0      0     0 ?        S    Feb08   0:00 [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    Feb08   0:00 [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    Feb08   0:00 [cpuhp/1]
root          22  0.0  0.0      0     0 ?        S    Feb08   0:00 [idle_inject/1]
root          23  0.0  0.0      0     0 ?        S    Feb08   0:42 [migration/1]
root          24  0.0  0.0      0     0 ?        S    Feb08   1:51 [ksoftirqd/1]
root          29  0.0  0.0      0     0 ?        S    Feb08   0:00 [kdevtmpfs]
root          30  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-inet_]
root          31  0.0  0.0      0     0 ?        S    Feb08   0:00 [kauditd]
root          32  0.0  0.0      0     0 ?        S    Feb08   0:03 [khungtaskd]
root          33  0.0  0.0      0     0 ?        S    Feb08   0:00 [oom_reaper]
root          35  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-write]
root          37  0.0  0.0      0     0 ?        S    Feb08   7:11 [kcompactd0]
root          38  0.0  0.0      0     0 ?        SN   Feb08   0:00 [ksmd]
root          40  0.0  0.0      0     0 ?        SN   Feb08   0:00 [khugepaged]
root          41  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-kinte]
root          42  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-kbloc]
root          43  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-blkcg]
root          44  0.0  0.0      0     0 ?        S    Feb08   0:00 [irq/9-acpi]
root          45  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-tpm_d]
root          46  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-ata_s]
root          47  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-md]
root          48  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-md_bi]
root          49  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-edac-]
root          50  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-devfr]
root          51  0.0  0.0      0     0 ?        S    Feb08   0:00 [watchdogd]
root          54  0.0  0.0      0     0 ?        S    Feb08   0:24 [kswapd0]
root          55  0.0  0.0      0     0 ?        S    Feb08   0:00 [ecryptfs-kthread]
root          56  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-kthro]
root          57  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-acpi_]
root          59  0.0  0.0      0     0 ?        S    Feb08   0:00 [scsi_eh_0]
root          60  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-scsi_]
root          61  0.0  0.0      0     0 ?        S    Feb08   0:00 [scsi_eh_1]
root          62  0.0  0.0      0     0 ?        I<   Feb08   0:00 [kworker/R-scsi_]
root          63  0.0  0.0      0     0 ?        S    Feb08   0:00 [scsi_eh_2]
